Harga Aktual (Rp),Harga Prediksi (Rp),Residual
1960000000.0,1849393000.0,110606976.0
875000000.0,716255360.0,158744640.0
695000000.0,673731650.0,21268352.0
1800000000.0,2044106600.0,-244106624.0
1050000000.0,1023974850.0,26025152.0
1050000000.0,1023974850.0,26025152.0
1050000000.0,1023974850.0,26025152.0
1050000000.0,1023974850.0,26025152.0
1050000000.0,1023974850.0,26025152.0
1250000000.0,1375049600.0,-125049600.0
1690000000.0,2339779000.0,-649779072.0
1620000000.0,1575465100.0,44534912.0
735000000.0,753205000.0,-18204992.0
1620000000.0,1505632300.0,114367744.0
2100000000.0,1607123800.0,492876160.0
799000000.0,835316800.0,-36316800.0
3400000000.0,2375297300.0,1024702720.0
1250000000.0,1916422300.0,-666422272.0
1200000000.0,1115462300.0,84537728.0
1050000000.0,1067386400.0,-17386368.0
1350000000.0,2029112400.0,-679112448.0
700000000.0,665920500.0,34079488.0
2200000000.0,1730966800.0,469033216.0
703000000.0,727518140.0,-24518144.0
1050000000.0,1081359700.0,-31359744.0
1050000000.0,1059756800.0,-9756800.0
950000000.0,895017900.0,54982080.0
2190000000.0,1764259000.0,425741056.0
950000000.0,877137660.0,72862336.0
999000000.0,900080060.0,98919936.0
2100000000.0,1510069900.0,589930112.0
545000000.0,457587520.0,87412480.0
725000000.0,820805600.0,-95805632.0
463000000.0,314392450.0,148607552.0
575000000.0,798027800.0,-223027776.0
320000000.0,496791840.0,-176791840.0
468000000.0,399689300.0,68310688.0
168000000.0,177134900.0,-9134896.0
875000000.0,756565500.0,118434496.0
496000000.0,490565000.0,5435008.0
779000000.0,771054900.0,7945088.0
800000000.0,795813100.0,4186880.0
800000000.0,795813100.0,4186880.0
764000000.0,798288100.0,-34288128.0
1600000000.0,1783792800.0,-183792768.0
1150000000.0,1277586800.0,-127586816.0
764000000.0,798288100.0,-34288128.0
42000000.0,97062660.0,-55062656.0
1350000000.0,1326948000.0,23052032.0
2200000000.0,1984919000.0,215080960.0
2000000000.0,1757457800.0,242542208.0
625000000.0,594589900.0,30410112.0
1000000000.0,1179782100.0,-179782144.0
1600000000.0,1273788700.0,326211328.0
680000000.0,507828480.0,172171520.0
490000000.0,456060100.0,33939904.0
665000000.0,645653950.0,19346048.0
445000000.0,595430850.0,-150430848.0
570000000.0,595400200.0,-25400192.0
1050000000.0,970055100.0,79944896.0
1500000000.0,1513001900.0,-13001856.0
665000000.0,645653950.0,19346048.0
665000000.0,645653950.0,19346048.0
950000000.0,960393540.0,-10393536.0
650000000.0,507176060.0,142823936.0
975000000.0,1015612860.0,-40612864.0
799000000.0,958495800.0,-159495808.0
3700000000.0,3755272700.0,-55272704.0
950000000.0,957118400.0,-7118400.0
350000000.0,412538880.0,-62538880.0
524000000.0,467546270.0,56453728.0
325000000.0,354835970.0,-29835968.0
325000000.0,354835970.0,-29835968.0
335000000.0,364703000.0,-29703008.0
310000000.0,354835970.0,-44835968.0
1500000000.0,1269686900.0,230313088.0
1500000000.0,1269686900.0,230313088.0
6640000000.0,3540026600.0,3099973376.0
327000000.0,365355400.0,-38355392.0
332000000.0,313629400.0,18370592.0
395000000.0,344220060.0,50779936.0
168000000.0,196491630.0,-28491632.0
480000000.0,472479550.0,7520448.0
395000000.0,344220060.0,50779936.0
360000000.0,411938940.0,-51938944.0
350000000.0,477019740.0,-127019744.0
370000000.0,574652000.0,-204652032.0
320000000.0,373740000.0,-53740000.0
853000000.0,686298200.0,166701824.0
550000000.0,412538880.0,137461120.0
2200000000.0,2169641000.0,30359040.0
1950000000.0,2166271000.0,-216270976.0
1960000000.0,1671067800.0,288932224.0
1150000000.0,1117257300.0,32742656.0
1800000000.0,1637490400.0,162509568.0
1400000000.0,1369140400.0,30859648.0
1400000000.0,1369140400.0,30859648.0
1250000000.0,1158855800.0,91144192.0
3250000000.0,3250432300.0,-432256.0
6750000000.0,5838231600.0,911768448.0
5000000000.0,5066271000.0,-66271232.0
850000000.0,850756030.0,-756032.0
1850000000.0,1926309600.0,-76309632.0
1080000000.0,1271625700.0,-191625728.0
1200000000.0,1170571900.0,29428096.0
390000000.0,453977180.0,-63977184.0
2750000000.0,2697521200.0,52478848.0
2750000000.0,2243133000.0,506867072.0
590000000.0,862024960.0,-272024960.0
990000000.0,1306537500.0,-316537472.0
2000000000.0,1646444200.0,353555840.0
635000000.0,679585860.0,-44585856.0
475000000.0,506919780.0,-31919776.0
525000000.0,546531460.0,-21531456.0
